發生年度,發生月,發生日,發生時-Hours,發生分,處理別-編號,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序號,車種,天候,光線,道路類別,速限-速度限制,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,安全帽,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,座標-X,座標-Y
111,1,1,0,37,2,06松山區,松山區復興北路233號,0,0,2,1,C03,7,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,14,2,9,1,1,7,7,2,18,2,11,,23,23,1,22,9,121.5442386,25.05715389
111,1,1,0,37,2,06松山區,松山區復興北路233號,0,0,2,2,B03,7,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,56,3,10,1,1,7,14,1,8,2,6,,26,23,1,22,9,121.5442386,25.05715389
111,1,1,0,37,2,06松山區,松山區復興北路233號,0,0,2,3,H02,7,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,15,2,9,1,5,7,21,8,20,10,16,,67,23,1,22,9,121.5442386,25.05715389
111,1,1,0,42,2,04大安區,大安區忠孝東路3段與建國南路1段口,0,0,3,1,C03,7,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,1,19,2,9,1,1,7,8,1,10,1,12,,7,7,1,22,9,121.5374491,25.04155338
111,1,1,0,42,2,04大安區,大安區忠孝東路3段與建國南路1段口,0,0,3,2,C03,7,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,2,19,2,9,1,1,7,9,1,10,1,14,,44,7,1,22,9,121.5374491,25.04155338
111,1,1,0,42,2,04大安區,大安區忠孝東路3段與建國南路1段口,0,0,3,3,H02,7,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,2,19,2,9,4,5,7,20,8,20,10,15,,67,7,1,22,9,121.5374491,25.04155338
111,1,1,2,13,2,02萬華區,萬華區西寧南路與貴陽街2段口,0,0,1,1,B01,8,3,5,50,4,1,1,5,4,5,7,2,1,5,4,5,2,16,1,67,3,10,1,1,7,5,1,4,1,8,,44,44,1,22,9,121.5062103,25.03942986
111,1,1,2,13,2,02萬華區,萬華區西寧南路與貴陽街2段口,0,0,1,2,C03,8,3,5,50,4,1,1,5,4,5,7,2,1,5,4,5,2,16,2,44,2,9,1,1,7,9,1,10,1,11,,44,44,1,22,9,121.5062103,25.03942986
111,1,1,2,24,2,03中山區,中山區民權東路1段與雙城街口,0,0,1,1,B01,8,3,5,50,3,1,1,5,4,5,7,2,1,1,5,5,2,17,1,66,3,10,1,1,7,8,1,4,1,15,,44,44,1,22,9,121.5243556,25.0628531
111,1,1,2,24,2,03中山區,中山區民權東路1段與雙城街口,0,0,1,2,C03,8,3,5,50,3,1,1,5,4,5,7,2,1,1,5,5,2,17,1,26,2,9,1,1,7,9,1,10,1,14,,42,44,1,22,9,121.5243556,25.0628531
111,1,1,2,58,2,05中正區,中正區中山南路與貴陽街1段口,0,0,1,1,C03,8,3,5,50,4,2,1,5,4,5,7,2,1,9,4,4,1,18,1,18,2,9,1,1,7,6,1,10,1,12,,43,43,1,18,5,121.51732,25.03870714
111,1,1,2,58,2,05中正區,中正區中山南路與貴陽街1段口,0,0,1,2,,8,3,5,50,4,2,1,5,4,5,7,2,1,9,4,4,1,18,3,,,,,,,,,,,,,67,43,,,,121.51732,25.03870714
111,1,1,3,50,2,09北投區,北投區豐年路2段142-1號,0,0,2,1,C03,8,3,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,10,1,59,2,9,1,1,7,9,4,8,2,11,,6,6,1,22,9,121.4934086,25.13695674
111,1,1,3,50,2,09北投區,北投區豐年路2段142-1號,0,0,2,2,C03,8,3,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,10,1,26,2,9,1,1,7,9,1,10,3,11,,21,6,1,22,9,121.4934086,25.13695674
111,1,1,4,26,2,07信義區,信義區光復南路與信義路4段口,0,0,1,2,H01,7,3,5,50,14,18,1,5,4,5,7,2,1,1,4,5,1,3,1,52,2,9,4,5,8,16,8,20,10,16,,67,14,1,22,9,121.5575567,25.03327218
111,1,1,4,26,2,07信義區,信義區光復南路與信義路4段口,0,0,1,1,B01,7,3,5,50,14,18,1,5,4,5,7,2,1,1,4,5,1,3,1,66,3,10,1,1,7,5,1,4,2,1,,14,14,1,22,9,121.5575567,25.03327218
111,1,1,4,40,2,02萬華區,萬華區西園路2段與莒光路口,0,0,1,1,B01,8,3,5,50,3,1,1,5,4,5,7,2,1,1,4,5,2,16,1,66,3,10,1,1,7,11,1,4,1,2,,10,10,1,22,9,121.4967237,25.03112516
111,1,1,4,40,2,02萬華區,萬華區西園路2段與莒光路口,0,0,1,2,C03,8,3,5,50,3,1,1,5,4,5,7,2,1,1,4,5,2,16,1,21,2,9,1,1,7,9,1,10,1,11,,13,10,1,22,9,121.4967237,25.03112516
111,1,1,5,17,2,02萬華區,萬華區萬大路486巷與萬大路486巷11弄口,0,0,2,1,C03,8,3,5,0,4,1,1,5,4,5,7,4,4,9,4,5,2,17,2,72,2,9,1,1,7,9,3,18,1,12,,13,13,1,22,9,121.496795,25.0199089
111,1,1,5,17,2,02萬華區,萬華區萬大路486巷與萬大路486巷11弄口,0,0,2,2,F01,8,3,5,0,4,1,1,5,4,5,7,4,4,9,4,5,2,17,2,78,2,1,1,1,7,21,8,20,1,16,,6,13,1,22,9,121.496795,25.0199089
111,1,1,6,5,2,02萬華區,萬華區西藏路與中華路2段口,0,0,1,1,B03,8,3,5,50,4,1,1,5,4,5,7,2,1,1,3,5,1,16,1,52,3,10,1,1,7,5,1,8,2,5,,25,25,1,22,9,121.5041459,25.0301165
111,1,1,6,5,2,02萬華區,萬華區西藏路與中華路2段口,0,0,1,2,C03,8,3,5,50,4,1,1,5,4,5,7,2,1,1,3,5,1,16,1,23,2,9,1,1,7,9,1,10,2,11,,13,25,1,22,9,121.5041459,25.0301165
111,1,1,6,28,2,03中山區,中山區建國北路3段與民權東路3段口,0,0,1,1,B03,8,2,5,50,4,1,1,5,4,5,7,2,1,1,4,5,2,1,4,,4,11,3,4,7,15,7,19,11,15,,43,43,2,22,9,121.5372832,25.0625404
